user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
38,0,24,na,494.0,0,0,27,0,0,76,0,0,1,1,0,0,0,1,0,weekly,0,0,0,0,virgo,1,0,25.0,0.83,0
41,1,44,na,550.0,0,0,0,0,0,64,0,0,12,1,1,1,0,1,0,na,0,0,0,0,libra,0,0,25.0,1.47,0
44,0,30,o,562.0,17,0,133,17,0,215,0,0,9,1,1,1,0,1,0,bi-weekly,0,0,0,0,cancer,1,0,49.0,1.63,1
47,1,41,r,609.0,0,0,0,0,0,100,0,0,8,1,0,0,0,1,2,monthly,0,0,0,1,cancer,0,0,26.0,0.87,1
49,1,36,r,501.0,0,0,0,0,0,202,0,0,35,1,1,1,1,0,0,semi-monthly,0,0,0,0,sagittarius,1,0,56.0,1.87,0
51,0,50,na,481.0,10,0,14,10,0,63,0,0,12,1,0,0,1,0,0,bi-weekly,0,0,0,0,libra,0,0,10.0,0.37,0
52,0,22,r,655.0,12,0,62,11,0,260,0,0,23,1,0,0,0,1,0,semi-monthly,0,0,0,0,virgo,1,0,65.0,2.17,1
56,0,28,o,364.0,0,0,89,0,0,170,0,0,1,1,1,1,0,1,0,na,0,0,0,0,capricorn,0,0,60.0,2.0,0
60,0,40,na,536.0,0,0,12,0,0,54,0,0,3,1,1,1,1,0,0,bi-weekly,0,0,0,0,na,0,0,29.0,0.97,1
61,1,25,r,525.0,0,0,0,0,0,30,0,0,4,1,1,1,1,0,0,weekly,0,0,0,0,scorpio,0,0,22.0,0.73,0
62,0,31,o,569.0,0,0,0,0,0,238,0,0,27,1,1,1,0,1,0,weekly,0,0,0,0,cancer,0,0,75.0,2.5,0
63,0,65,r,539.4,1,0,22,1,0,40,0,0,1,1,1,1,1,0,0,na,0,0,0,0,virgo,0,0,13.0,0.43,0
64,1,28,r,572.0,0,0,0,0,0,82,1,0,3,1,1,1,0,1,0,bi-weekly,0,0,0,0,na,0,0,44.0,1.47,0
68,0,52,r,513.0,11,2,160,10,0,282,0,0,34,1,1,1,0,1,2,bi-weekly,0,0,0,0,pisces,0,0,63.0,2.1,1
71,0,45,na,527.2,0,0,48,0,0,125,0,0,3,1,1,1,1,0,0,bi-weekly,0,0,0,0,gemini,0,0,32.0,1.0699999999999998,0
73,1,41,r,473.0,52,2,92,50,0,238,0,0,23,1,1,1,0,1,2,bi-weekly,0,0,0,0,taurus,0,0,65.0,2.17,1
78,0,44,na,555.0,2,1,61,1,0,243,0,0,12,1,0,0,1,0,0,bi-weekly,0,0,0,0,sagittarius,0,0,51.0,1.7,1
82,0,38,r,649.0,16,0,84,16,0,196,0,0,11,1,0,0,0,1,0,semi-monthly,0,0,0,0,pisces,0,0,41.0,1.37,0
86,1,28,r,528.0,0,0,0,0,0,25,0,0,5,1,1,1,1,0,0,monthly,0,0,0,0,cancer,0,0,12.0,0.4,1
88,0,21,r,526.0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,bi-weekly,0,0,0,0,libra,0,0,5.0,0.1699999999999999,1
91,1,29,r,556.2,0,0,0,0,0,150,0,0,2,1,0,0,0,1,0,bi-weekly,0,0,0,0,virgo,0,0,40.0,1.33,0
93,1,28,r,596.0,0,0,4,0,0,71,0,0,3,1,1,1,1,1,2,bi-weekly,0,0,0,0,cancer,0,0,22.0,0.73,0
95,0,35,o,620.0,29,3,34,28,0,95,0,0,12,1,1,1,0,1,0,bi-weekly,0,0,0,0,gemini,0,0,26.0,0.87,1
96,0,28,o,454.0,7,0,30,7,0,68,0,0,4,1,0,0,1,0,0,monthly,0,0,0,0,aquarius,0,0,21.0,0.7,0
98,0,18,na,558.0,0,0,9,0,1,231,0,0,14,1,0,0,0,1,2,bi-weekly,0,0,0,0,libra,0,0,61.0,2.03,1
100,1,25,o,539.6,3,2,25,3,0,21,0,0,2,1,1,1,1,0,0,bi-weekly,0,0,0,0,virgo,0,0,6.0,0.2,1
103,1,29,na,508.8,0,0,9,0,0,14,0,0,0,1,1,1,0,1,0,bi-weekly,0,0,0,0,scorpio,0,0,6.0,0.2,0
109,0,29,r,481.0,0,0,0,0,0,249,0,0,17,1,1,1,0,1,0,bi-weekly,0,0,0,0,libra,0,0,67.0,2.23,0
111,1,51,r,538.0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,weekly,0,0,0,0,libra,1,0,2.0,0.0699999999999999,1
112,0,35,r,647.0,13,2,113,13,0,264,0,0,30,1,1,1,1,0,0,weekly,0,0,0,0,aries,0,0,68.0,2.27,1
113,0,28,r,506.0,0,0,34,0,0,194,0,0,7,1,0,0,0,1,0,weekly,0,0,0,0,gemini,0,0,52.0,1.73,1
115,0,26,na,490.0,2,2,74,2,0,248,0,0,28,1,1,1,0,1,0,semi-monthly,0,0,0,0,leo,1,0,84.0,2.8,0
119,0,24,r,613.0,0,0,21,0,0,31,0,0,0,1,0,0,0,1,0,monthly,0,0,0,0,aquarius,0,0,9.0,0.41,0
120,0,31,o,530.0,0,0,149,0,0,308,0,0,4,1,0,0,0,1,0,weekly,0,0,0,0,aquarius,0,0,60.0,2.0,0
121,0,27,r,537.0,35,1,89,34,0,248,0,0,15,1,1,1,1,1,2,bi-weekly,0,0,0,0,na,0,0,59.0,1.97,1
127,0,22,na,557.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,bi-weekly,0,0,0,0,cancer,0,0,1.8,0.0,0
130,1,51,o,461.0,0,0,0,0,4,194,0,0,21,1,1,1,1,0,0,bi-weekly,0,0,0,0,gemini,0,1,60.0,2.0,0
131,0,32,r,413.0,10,0,0,10,1,192,0,0,9,1,0,0,1,0,0,bi-weekly,0,0,0,0,cancer,0,0,49.0,1.63,1
132,0,25,r,588.0,2,0,99,2,0,217,0,0,24,1,1,1,1,0,0,bi-weekly,0,0,0,0,sagittarius,0,0,49.0,1.63,1
137,1,35,r,540.0,1,0,159,1,0,299,0,0,1,1,1,1,1,0,0,weekly,0,0,1,0,na,1,0,61.0,2.03,1
138,0,33,r,581.0,0,0,15,0,0,272,0,0,8,1,1,1,0,1,0,bi-weekly,0,0,0,0,virgo,0,0,64.0,2.13,0
140,0,43,r,587.0,11,1,32,10,0,59,0,0,5,1,1,1,1,0,0,bi-weekly,0,0,0,0,taurus,0,0,15.0,0.8800000000000002,0
141,1,32,r,532.0,9,1,24,8,0,44,0,0,10,1,1,1,1,0,0,weekly,0,0,0,0,libra,0,0,11.0,0.79,1
146,1,28,r,535.0,0,0,0,0,0,30,0,0,2,1,1,1,1,0,0,semi-monthly,0,1,0,0,cancer,0,0,14.0,0.47,0
147,0,43,na,537.8,0,0,28,0,0,195,0,0,2,1,1,1,0,1,0,weekly,0,0,0,0,libra,1,0,54.0,1.8,1
151,0,42,na,552.0,2,0,71,2,0,199,0,0,12,1,1,1,1,0,0,weekly,0,0,0,0,na,1,0,46.0,1.53,1
154,0,28,r,554.2,0,0,0,0,0,205,0,0,27,1,1,1,1,0,0,bi-weekly,0,0,0,0,cancer,0,0,68.0,2.27,0
155,0,27,na,486.4,0,0,81,0,0,163,0,0,6,1,1,1,0,1,0,monthly,0,0,0,0,taurus,1,0,46.0,1.53,0
160,1,34,na,549.4,0,0,41,0,0,78,0,0,8,1,1,1,1,0,0,bi-weekly,0,0,0,0,sagittarius,0,0,24.0,0.8,1
161,0,27,r,687.0,43,1,71,43,0,156,0,0,8,1,1,1,0,1,2,bi-weekly,0,0,0,0,sagittarius,1,0,67.0,2.23,0
168,0,30,r,538.0,0,0,67,0,0,137,0,0,36,1,1,1,0,1,0,bi-weekly,0,0,0,0,gemini,0,0,21.0,0.7,0
169,0,51,o,491.0,0,0,0,0,1,177,0,0,5,1,1,1,1,0,0,na,0,0,0,0,gemini,0,0,61.0,2.03,0
170,0,34,o,472.0,55,1,103,55,0,289,0,0,58,1,1,1,0,1,4,bi-weekly,0,0,0,0,aquarius,0,0,65.0,2.17,1
183,0,42,na,597.0,0,0,59,0,0,221,0,0,9,1,0,0,1,0,0,bi-weekly,0,0,0,0,na,0,0,44.0,1.47,0
184,0,32,r,524.6,0,0,19,0,0,35,0,0,8,1,0,0,1,0,2,bi-weekly,0,0,0,0,aries,0,0,9.0,0.8199999999999998,1
185,1,31,r,605.0,0,0,44,0,0,128,0,0,4,1,0,0,0,1,0,na,0,0,0,0,cancer,0,0,24.0,0.8,0
186,1,33,r,551.4,1,0,133,1,0,180,0,0,2,1,1,1,0,1,0,bi-weekly,0,0,0,0,cancer,0,0,48.0,1.6,0
187,0,44,o,570.0,3,1,60,3,0,102,0,0,19,1,1,1,1,0,0,bi-weekly,0,0,0,0,gemini,0,0,34.0,1.13,1
189,1,19,na,554.0,0,0,26,0,0,50,0,0,0,1,0,0,0,1,0,na,0,0,0,0,taurus,0,0,15.0,0.5,0
197,1,40,r,597.0,0,0,0,0,3,230,1,0,34,1,1,1,1,0,0,bi-weekly,0,0,0,0,libra,0,0,67.0,2.23,0
200,1,33,r,545.0,20,0,47,20,0,159,0,0,18,1,1,1,0,1,0,na,0,0,0,0,cancer,0,0,33.0,1.1,0
201,0,25,na,505.8,0,0,7,0,0,2,0,0,0,1,1,1,0,1,2,weekly,0,0,0,0,na,0,0,4.0,0.13,1
206,0,38,o,638.0,3,0,55,3,0,255,0,0,18,1,1,1,0,1,0,bi-weekly,0,1,0,0,cancer,0,0,65.0,2.17,0
209,0,41,r,539.0,0,0,0,0,1,191,0,1,30,1,1,1,0,1,3,weekly,0,0,0,0,aquarius,0,0,58.0,1.93,0
213,0,24,r,551.2,0,0,0,0,0,209,0,0,6,1,1,1,0,1,0,na,0,0,0,0,libra,0,0,75.0,2.5,0
216,0,40,na,531.0,0,0,0,0,0,163,0,0,12,1,0,0,1,0,0,bi-weekly,0,0,0,0,pisces,0,0,48.0,1.6,0
219,1,40,r,636.0,12,1,82,11,0,254,0,0,24,1,1,1,1,0,0,bi-weekly,0,0,0,0,scorpio,0,0,61.0,2.03,0
220,0,24,r,571.0,0,0,0,0,0,162,0,0,9,1,0,0,0,1,0,weekly,0,0,0,0,gemini,0,0,51.0,1.7,0
221,0,34,r,571.0,7,0,96,7,0,208,0,0,5,1,1,1,0,1,0,bi-weekly,0,0,0,0,aquarius,0,0,35.0,1.17,0
231,1,34,na,566.0,0,0,44,0,0,94,0,0,1,1,0,0,1,0,0,weekly,0,0,0,0,libra,1,0,13.0,0.43,0
233,1,48,r,528.0,38,0,42,37,0,184,0,0,27,1,1,1,0,1,0,bi-weekly,0,0,0,0,gemini,0,0,43.0,1.4300000000000002,0
238,0,22,r,531.0,0,0,2,0,0,1,0,0,0,1,1,1,0,1,2,monthly,0,0,0,0,aquarius,0,0,2.0,0.0699999999999999,1
241,0,25,na,587.0,0,0,0,0,0,168,1,0,11,1,0,0,0,1,0,weekly,0,0,0,0,cancer,0,0,58.0,1.93,0
242,1,22,na,705.0,1,0,30,1,0,64,0,0,8,1,0,0,0,1,0,bi-weekly,0,0,0,0,virgo,0,0,26.0,0.87,1
243,1,19,na,464.0,2,0,24,2,0,65,0,0,3,1,0,0,1,0,0,weekly,0,0,0,0,libra,0,0,19.0,1.46,1
244,1,32,na,499.0,0,0,0,0,0,45,0,0,5,1,1,1,0,1,0,na,0,0,0,0,virgo,0,0,2.0,0.0699999999999999,0
251,1,46,na,361.0,0,0,3,0,0,5,0,0,0,1,1,1,1,0,0,weekly,0,0,0,0,gemini,0,0,1.0,0.0,0
252,1,23,na,567.0,0,0,0,0,0,160,0,0,13,1,1,1,1,1,2,weekly,0,0,0,0,pisces,0,0,50.0,1.67,0
253,1,27,r,597.0,1,0,57,1,0,124,0,0,2,1,0,0,1,0,0,monthly,0,0,0,0,scorpio,0,0,26.0,0.87,0
259,1,23,na,452.0,0,0,0,0,0,145,1,0,19,1,1,1,0,1,0,bi-weekly,0,0,0,0,sagittarius,0,0,51.0,1.7,0
261,1,22,na,553.0,0,0,0,0,0,70,0,0,8,1,0,0,0,1,0,bi-weekly,0,0,0,0,libra,0,0,40.0,1.33,0
262,0,46,r,544.0,0,0,143,0,0,239,0,0,16,1,1,1,1,0,0,monthly,0,0,0,0,libra,0,0,54.0,1.8,1
266,1,23,r,606.0,0,0,0,0,0,39,0,0,2,1,0,0,0,1,0,bi-weekly,0,0,0,0,gemini,0,0,17.0,0.5700000000000001,0
267,0,34,na,582.0,0,0,5,0,0,11,0,0,2,1,1,1,1,0,0,na,0,0,0,0,leo,0,0,3.0,0.0,0
269,1,26,r,511.0,21,0,37,21,0,143,0,0,10,1,1,1,1,0,0,na,0,0,0,0,leo,0,0,25.0,0.83,0
270,1,32,na,550.0,0,0,24,0,0,40,0,0,4,1,1,1,1,0,2,weekly,0,0,0,0,gemini,0,0,22.0,0.73,1
274,0,23,r,661.0,0,0,0,0,5,157,0,0,11,1,1,1,1,0,2,bi-weekly,0,0,0,0,leo,1,0,50.0,1.67,0
282,1,27,o,526.0,0,0,0,0,0,157,0,0,2,1,1,1,0,1,0,bi-weekly,0,0,0,0,capricorn,0,1,67.0,2.23,0
285,0,28,r,552.8,0,0,63,0,0,169,0,0,0,1,0,0,0,1,2,bi-weekly,0,0,0,0,na,0,0,43.0,1.4300000000000002,0
286,0,31,r,527.0,3,0,100,3,0,224,0,0,7,1,0,0,1,0,0,na,0,0,0,0,scorpio,0,0,57.0,1.9,1
287,0,25,r,538.0,1,0,111,1,0,162,0,0,16,1,0,0,0,1,0,weekly,0,0,0,0,leo,0,0,33.0,1.1,0
293,0,23,na,561.0,0,0,77,0,0,132,0,0,26,1,0,0,0,1,0,na,0,0,0,0,na,0,0,34.0,1.13,0
294,1,26,na,509.2,0,0,1,0,0,13,0,0,1,1,0,0,0,1,0,weekly,0,0,0,0,aquarius,0,0,1.0,0.03,0
295,0,35,na,514.0,0,0,58,0,0,123,0,0,7,1,1,1,0,1,0,bi-weekly,0,0,0,0,aquarius,0,0,35.0,1.17,0
297,1,29,na,532.0,2,2,0,2,0,35,0,0,2,1,1,1,0,1,0,weekly,0,0,0,0,aries,0,0,12.0,0.4,0
300,0,49,r,459.0,59,0,95,58,0,275,0,0,36,1,1,1,0,1,2,na,0,0,0,0,virgo,0,0,57.0,1.9,0
301,1,21,r,550.0,0,0,0,0,0,231,1,0,9,1,1,1,0,1,0,bi-weekly,0,0,0,0,scorpio,0,0,67.0,2.23,0
304,0,40,r,416.0,2,0,74,2,0,147,0,0,12,1,1,1,0,1,0,bi-weekly,0,0,0,0,leo,0,0,44.0,1.47,1
307,0,31,na,499.0,0,0,3,0,0,10,0,0,0,1,0,0,1,0,0,na,0,0,0,0,virgo,0,0,3.0,0.1,1
308,0,56,na,583.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,bi-weekly,0,0,0,0,libra,0,0,2.2,0.0,0
311,0,37,na,563.0,7,0,39,7,0,64,0,0,3,1,1,1,0,1,2,monthly,0,0,0,0,taurus,0,0,24.0,0.8,1
312,1,25,r,547.0,0,0,0,0,0,170,0,0,32,1,1,1,1,0,2,monthly,0,0,0,0,gemini,0,0,61.0,2.03,0
327,0,33,o,408.0,1,1,25,1,0,57,0,0,4,1,0,0,0,1,0,na,0,0,0,0,libra,0,0,12.0,0.67,0
329,1,38,r,527.0,0,0,0,0,0,164,0,0,7,1,0,0,0,1,0,weekly,0,0,0,0,aquarius,0,0,63.0,2.1,0
331,1,36,na,446.0,6,0,1,6,0,164,0,0,4,1,0,0,1,0,0,bi-weekly,0,0,0,0,aries,0,0,60.0,2.0,0
337,0,30,r,443.0,62,2,42,29,0,102,0,0,62,1,1,1,0,1,0,bi-weekly,0,0,0,0,leo,0,0,28.0,0.93,1
341,1,45,r,548.0,0,0,0,0,1,174,0,0,6,1,1,1,1,0,2,na,0,0,0,0,gemini,0,0,63.0,2.1,0
343,1,38,o,529.0,0,0,0,0,2,153,0,0,19,1,1,1,1,0,2,bi-weekly,0,0,0,0,cancer,0,0,63.0,2.1,1
345,1,37,r,575.0,0,0,0,0,0,281,0,0,14,1,1,1,1,0,2,na,0,0,0,0,cancer,0,0,69.0,2.3,0
346,1,27,r,615.0,0,0,1,0,0,140,0,0,1,1,0,0,0,1,2,bi-weekly,0,0,0,0,pisces,1,0,43.0,1.4300000000000002,0
347,1,32,r,575.0,12,0,63,12,0,104,0,0,7,1,0,0,0,1,2,na,0,0,0,0,capricorn,0,0,24.0,0.8,0
348,1,25,o,592.0,0,0,0,0,1,189,0,0,8,1,1,1,0,1,0,semi-monthly,0,0,0,0,virgo,0,0,57.0,1.9,0
349,1,30,r,574.0,0,0,0,0,0,176,0,0,8,1,0,0,1,0,2,bi-weekly,0,0,0,0,na,1,0,40.0,1.33,0
352,0,25,r,580.0,0,0,0,0,1,236,4,1,23,1,1,1,1,0,0,weekly,0,0,0,0,cancer,0,1,68.0,2.27,0
353,1,33,r,547.2,1,0,15,0,0,17,0,0,2,1,0,0,0,1,0,bi-weekly,0,0,0,0,libra,0,0,7.0,0.23,0
354,0,25,r,495.0,4,2,154,4,0,291,0,0,21,1,1,1,0,1,3,weekly,0,0,1,0,leo,1,0,65.0,2.17,1
356,1,22,r,530.0,0,0,0,0,0,175,0,0,8,1,1,1,0,1,0,semi-monthly,0,0,0,0,aquarius,0,1,44.0,1.47,0
358,1,29,r,573.0,0,0,0,0,0,233,1,0,31,1,1,1,1,0,0,semi-monthly,0,0,1,0,libra,0,0,57.0,1.9,0
360,1,28,r,566.0,0,0,0,0,0,150,0,0,15,1,1,1,0,1,0,bi-weekly,0,0,0,0,virgo,0,1,53.0,1.77,0
361,1,28,r,443.0,3,3,41,3,0,45,0,0,15,1,0,0,0,1,0,monthly,0,0,0,0,virgo,0,0,16.0,0.53,0
369,1,35,na,552.0,0,0,0,0,0,113,0,0,4,1,1,1,0,1,0,bi-weekly,0,0,0,0,aquarius,0,0,55.0,1.83,0
370,0,46,o,577.0,0,0,0,0,3,252,3,0,18,1,1,1,0,1,0,bi-weekly,0,0,0,0,scorpio,0,0,69.0,2.3,0
371,0,30,na,580.0,0,0,0,0,0,191,0,0,5,1,0,0,0,1,3,bi-weekly,0,0,0,0,libra,0,0,56.0,1.87,0
372,0,29,r,700.0,0,0,160,0,0,270,0,0,5,1,0,0,0,1,0,bi-weekly,0,0,0,0,gemini,0,0,54.0,1.8,0
377,1,37,na,490.0,0,0,0,0,0,81,0,0,4,1,1,1,0,1,0,na,0,0,0,0,taurus,0,1,33.0,3.3,0
379,0,42,r,537.0,1,1,57,1,0,145,0,0,1,1,0,0,1,0,0,na,0,0,0,0,na,0,0,43.0,1.4300000000000002,1
382,0,23,r,521.0,1,0,51,1,0,166,0,0,9,1,1,1,0,1,0,na,0,0,0,0,virgo,0,0,37.0,1.23,0
386,0,30,r,621.0,0,0,0,0,0,89,0,0,2,1,1,1,0,1,0,weekly,0,0,0,0,cancer,0,0,41.0,1.37,0
388,0,22,r,591.0,7,0,73,7,0,179,0,0,13,1,0,0,0,1,0,monthly,0,0,0,0,taurus,0,0,40.0,1.33,1
392,0,20,r,547.0,0,0,46,0,0,193,0,0,7,1,1,1,0,1,0,weekly,0,0,0,0,gemini,0,0,53.0,1.77,1
394,0,50,na,513.4,0,0,111,0,0,146,0,0,16,1,1,1,0,1,0,weekly,0,0,0,0,sagittarius,0,0,51.0,1.7,1
398,0,43,na,531.0,1,1,9,1,0,18,0,0,2,1,1,1,0,1,0,weekly,0,0,0,0,gemini,0,1,6.0,0.2,1
399,1,37,na,479.0,0,0,1,0,0,4,0,0,0,1,1,1,1,0,0,weekly,0,0,0,0,scorpio,0,0,2.0,0.0699999999999999,0
406,0,43,o,517.0,3,1,30,3,0,40,0,0,1,1,1,1,1,0,0,monthly,0,0,0,0,aquarius,0,0,17.0,0.5700000000000001,0
407,1,36,na,489.0,0,0,2,0,0,4,0,0,0,1,0,0,1,0,2,bi-weekly,0,0,0,0,pisces,0,0,7.0,0.23,0
412,1,43,o,632.0,23,2,29,23,0,102,0,0,15,1,1,1,0,1,0,bi-weekly,0,0,0,0,pisces,0,0,2.0,0.0699999999999999,0
413,0,30,na,570.0,0,0,46,0,0,126,0,0,4,1,1,1,1,0,0,semi-monthly,0,0,0,0,libra,0,0,35.0,1.17,0
417,1,24,r,532.6,5,6,94,5,0,152,0,0,24,1,1,1,1,0,3,na,0,0,0,0,scorpio,0,0,19.0,0.63,1
419,0,36,na,475.0,0,0,46,0,0,77,0,0,5,1,1,1,1,1,3,bi-weekly,0,0,0,0,gemini,0,0,25.0,0.83,1
420,0,26,o,465.0,0,0,46,0,0,135,0,0,4,1,1,1,0,1,0,na,0,0,0,0,libra,0,0,30.0,1.0,1
426,0,27,na,570.0,0,0,11,0,0,5,0,0,4,1,1,1,0,1,0,bi-weekly,0,0,0,0,taurus,1,0,5.0,0.1699999999999999,0
429,1,39,na,541.4,0,0,57,0,0,121,0,0,11,1,0,0,1,0,0,na,0,0,0,0,sagittarius,0,0,21.0,0.7,1
432,0,38,na,509.2,13,0,17,13,0,71,0,0,3,1,0,0,0,1,0,bi-weekly,0,0,0,0,leo,0,0,10.0,0.45,0
436,1,19,na,532.2,2,0,15,2,0,32,0,0,1,1,0,0,0,1,0,weekly,0,0,0,0,taurus,0,0,11.0,0.37,1
440,1,32,r,422.0,0,0,5,0,0,165,0,0,17,1,1,1,0,1,2,monthly,0,0,0,0,pisces,0,0,39.0,1.3,0
442,0,30,na,444.0,1,0,55,0,0,91,0,0,8,1,1,1,0,1,0,na,0,0,0,0,leo,0,0,23.0,0.96,0
443,0,51,r,530.4,0,0,0,0,0,224,0,0,78,1,1,1,1,0,0,na,0,0,0,0,aries,0,1,64.0,2.13,0
445,1,39,na,467.0,0,0,0,0,0,225,0,0,42,1,1,1,0,1,0,bi-weekly,0,0,0,0,aquarius,0,0,56.0,1.87,1
448,1,22,na,533.0,2,1,51,2,0,196,0,0,32,1,1,1,0,1,0,na,0,0,0,0,taurus,0,0,47.0,1.5699999999999998,1
451,0,51,o,496.0,0,0,0,0,0,78,0,0,6,1,1,1,1,0,0,na,0,0,0,0,aries,0,0,33.0,1.1,0
456,0,23,r,528.0,0,0,105,0,0,243,0,0,13,1,0,0,1,0,0,na,0,0,0,0,gemini,0,0,58.0,1.93,0
458,1,39,r,522.0,0,0,0,0,2,69,2,0,16,1,1,1,1,0,0,weekly,0,0,0,0,cancer,1,0,31.0,1.03,1
461,0,30,r,558.0,0,0,108,0,0,205,0,0,3,1,0,0,0,1,0,bi-weekly,0,0,0,0,capricorn,0,0,56.0,1.87,0
465,0,32,r,672.0,0,0,30,0,0,268,0,0,15,1,1,1,0,1,0,monthly,0,0,0,0,leo,0,0,75.0,2.5,0
466,0,28,r,527.0,0,0,0,0,1,149,0,0,6,1,0,0,0,1,0,bi-weekly,0,0,0,0,aquarius,0,0,58.0,1.93,0
467,0,24,o,503.0,0,0,108,0,0,266,0,0,16,1,0,0,0,1,0,weekly,0,0,0,0,sagittarius,1,0,66.0,2.2,1
471,1,39,r,608.0,0,0,0,0,3,240,0,0,23,1,1,1,1,0,3,na,0,0,0,0,pisces,0,0,58.0,1.93,0
472,0,24,r,527.0,3,0,17,3,0,98,0,0,9,1,0,0,0,1,0,semi-monthly,0,0,0,0,sagittarius,0,0,37.0,1.23,1
474,0,28,r,524.0,0,0,21,0,0,39,0,0,1,1,0,0,1,0,0,weekly,0,0,0,0,leo,0,0,14.0,0.47,0
475,1,30,r,511.0,37,4,29,36,0,249,0,0,23,1,1,1,0,1,0,semi-monthly,0,1,1,0,sagittarius,1,0,60.0,2.0,1
477,0,36,na,574.4,0,0,2,0,0,17,0,0,2,1,0,0,0,1,2,na,0,0,0,0,capricorn,0,0,12.0,0.4,0
479,1,36,na,516.0,0,0,0,0,0,215,0,0,9,1,1,1,0,1,3,bi-weekly,0,0,0,0,pisces,0,0,63.0,2.1,0
483,0,23,o,540.0,0,0,27,0,0,58,0,0,1,1,1,1,0,1,0,weekly,0,0,0,0,aquarius,1,0,22.0,0.73,0
486,1,51,r,546.4,0,0,65,0,0,143,0,0,17,1,1,1,1,0,0,monthly,0,0,0,0,taurus,0,0,27.0,0.9,1
491,0,35,o,556.4,0,0,20,0,0,41,0,0,6,1,0,0,1,0,0,na,0,0,0,0,sagittarius,0,0,11.0,0.37,0
495,1,66,o,554.0,2,0,66,2,0,164,0,0,16,1,1,1,1,0,0,monthly,0,0,0,0,taurus,0,0,43.0,1.4300000000000002,1
498,1,62,na,552.4,0,0,14,0,0,33,0,0,0,1,0,0,0,1,0,bi-weekly,0,0,0,0,aries,0,0,18.0,0.6,0
499,0,49,r,541.6,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,weekly,0,0,0,0,pisces,0,0,2.8,0.0,0
